City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
229,Karauli,IN,77.68,clear sky,26.5,77.02,Bhanwar Vilas Palace
233,Charagua,BO,78.48,broken clouds,-19.8,-63.22,Residencial Luismar
235,Fomboni,KM,76.98,clear sky,-12.28,43.74,Auberge les abou
236,Hambantota,LK,81.46,overcast clouds,6.12,81.12,Bungalow 63
238,Cayenne,GF,89.6,broken clouds,4.93,-52.33,Hôtel Le Dronmi
240,Gosainganj,IN,83.1,clear sky,26.58,82.38,RAM PHOOL SWEETS
243,Kinkala,CG,86.0,few clouds,-4.36,14.76,Hotel la Vernande
245,Venice,US,90.0,scattered clouds,27.1,-82.45,A Beach Retreat
249,Kalabo,ZM,75.43,scattered clouds,-14.97,22.68,Sikakubete Guest House Kalabo Town Council
251,Barcelos,PT,75.99,clear sky,41.54,-8.62,Hotel Do Terço
252,Meulaboh,ID,78.12,moderate rain,4.14,96.13,Kost Pria
260,Cotonou,BJ,77.81,overcast clouds,6.37,2.42,Novotel Cotonou Orisha
262,Vila Franca Do Campo,PT,77.0,scattered clouds,37.72,-25.43,Pestana Bahia Praia
265,Chiredzi,ZW,75.88,few clouds,-21.05,31.67,The Nesbitt Arms
267,Faridkot,IN,83.7,clear sky,30.67,74.75,Sangam Hotel
270,Piacabucu,BR,80.44,clear sky,-10.41,-36.43,Piaçabuçu News
272,Kafue,ZM,78.04,clear sky,-15.77,28.18,Purview Lodges Ltd
273,Mangan,IN,76.33,overcast clouds,27.52,88.53,"Dzongu Lee, Home Stay"
274,Dwarka,IN,81.91,moderate rain,22.24,68.97,Hotel Narayan Avezika Comfort
275,Timbiqui,CO,81.28,overcast clouds,2.77,-77.67,hotel diana
283,Edelira,PY,79.03,broken clouds,-26.75,-55.27,Hospedaje Miguelito
286,Lagoa,PT,75.09,scattered clouds,39.05,-27.98,Casa Das Faias
287,Bhachau,IN,79.39,moderate rain,23.28,70.35,Hotel Shiv International
292,Keta,GH,78.84,overcast clouds,5.92,0.99,Keta Lagoon Resort
293,Tshikapa,CD,84.78,broken clouds,-6.42,20.8,Hôtel Tshia-Muntu de Tshikapa
294,Mitsamiouli,KM,77.0,few clouds,-11.38,43.28,Foyer ADM
295,Touros,BR,84.2,scattered clouds,-5.2,-35.46,INN NEW HORIZON
297,Garango,BF,82.6,light rain,11.8,-0.55,Hotel Boulgou
298,Podgorica,ME,86.0,clear sky,42.44,19.26,Hotel Podgorica
300,Anloga,GH,77.14,overcast clouds,5.79,0.9,Dey Lodge
302,Araguari,BR,84.2,clear sky,-18.65,-48.19,Big Executive Hotel - Araguari MG
303,Poli,TZ,78.8,few clouds,-3.33,36.8,Peace Matunda Campsite and Backpackers
304,Aquiraz,BR,87.8,few clouds,-3.9,-38.39,Hotel Laguna Blu
311,Harper,LR,76.86,overcast clouds,4.38,-7.72,Screensaver
312,Iki-Burul,RU,77.0,clear sky,45.82,44.65,
315,Maragogi,BR,79.86,clear sky,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
316,Bambui,BR,87.78,few clouds,-20.01,-45.98,Paulinelli Palace Hotel
317,Pathanamthitta,IN,77.0,scattered clouds,9.27,76.78,Govt: Guest House
320,Kudahuvadhoo,MV,84.31,broken clouds,2.67,72.89,Kudahuvadhoo Retreat
323,Mantua,IT,77.0,scattered clouds,45.17,10.78,Hotel la Favorita
324,Itarema,BR,87.53,scattered clouds,-2.92,-39.92,Windvillage
327,Busayra,JO,76.77,clear sky,30.74,35.61,Matan Eco Villege
328,Naliya,IN,82.08,overcast clouds,23.27,68.83,Hotel Panchvati
329,Sur,OM,86.13,broken clouds,22.57,59.53,Sur Plaza Hotel
331,Banda Aceh,ID,80.44,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
334,High Rock,BS,87.8,broken clouds,26.62,-78.28,Ocean Pearl Bonefishing Resort
338,Kidal,ML,89.38,overcast clouds,18.44,1.41,
340,Male,MV,84.2,broken clouds,4.17,73.51,Hotel Octave Maldives
341,Coatesville,US,77.0,few clouds,39.98,-75.82,Courtyard by Marriott Philadelphia Coatesville/Exton
343,Kikwit,CD,86.63,broken clouds,-5.04,18.82,Centre D'Accueil Protestant
345,Loiza,PR,88.0,haze,18.43,-65.88,Malibu Beachfront
346,Bansi,IN,82.18,clear sky,27.18,82.93,Urvasi Hotel
348,Saint-Georges,GD,84.2,scattered clouds,12.06,-61.75,Siesta Hotel
349,Mitu,CO,89.91,overcast clouds,1.2,-70.17,
355,Parrita,CR,82.4,scattered clouds,9.52,-84.32,Beso del Viento
356,Kalmunai,LK,82.65,overcast clouds,7.42,81.82,VS Villa
358,Isla Mujeres,MX,88.0,scattered clouds,21.23,-86.73,Hotel La Joya Isla Mujeres
360,Corinto,GR,84.99,clear sky,37.94,22.96,Ephira Hotel
362,Gilgit,PK,81.23,scattered clouds,35.92,74.31,Tourist Hamlet Gilgit
364,Masalli,KR,78.8,broken clouds,34.8,126.66,영암펜션
