City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
69,Pangnirtung,66.15,-65.71,42.66,65,1,2.44,CA,2020-08-30 08:51:00
70,Qaqortoq,60.72,-46.03,59.0,33,75,20.8,GL,2020-08-30 08:51:00
71,Gao,16.64,1.64,82.76,67,16,14.12,ML,2020-08-30 08:51:00
72,Rio Grande,-32.03,-52.1,50.0,90,95,5.01,BR,2020-08-30 08:48:58
73,Kongwa,-6.2,36.42,87.57,24,0,5.32,TZ,2020-08-30 08:51:00
74,Karpathos,35.51,27.21,84.2,62,0,29.97,GR,2020-08-30 08:51:01
75,Oyem,1.6,11.58,73.4,88,90,2.98,GA,2020-08-30 08:51:01
76,Bosobolo,4.18,19.9,70.68,97,100,1.66,CD,2020-08-30 08:51:01
77,Havre-Saint-Pierre,50.23,-63.6,50.0,87,90,9.17,CA,2020-08-30 08:51:01
78,Tessalit,20.2,1.01,86.7,48,0,15.93,ML,2020-08-30 08:51:02
79,Cesis,57.31,25.27,64.0,81,100,5.01,LV,2020-08-30 08:51:02
80,Yelizavetino,59.49,29.79,60.8,82,90,8.95,RU,2020-08-30 08:51:02
81,Sao Borja,-28.66,-56.0,60.91,86,100,14.25,BR,2020-08-30 08:51:02
82,Port Elizabeth,-33.92,25.57,50.0,76,40,14.99,ZA,2020-08-30 08:46:24
83,Chimoio,-19.12,33.48,86.0,33,0,13.87,MZ,2020-08-30 08:46:29
84,Hamilton,39.18,-84.53,64.99,87,1,4.99,US,2020-08-30 08:51:03
85,Biscarrosse,44.39,-1.17,62.6,77,12,8.05,FR,2020-08-30 08:51:03
86,Aljezur,37.32,-8.8,66.0,71,13,1.01,PT,2020-08-30 08:51:03
87,Chiredzi,-21.05,31.67,88.66,28,0,9.22,ZW,2020-08-30 08:51:03
88,Nizwa,22.93,57.53,100.36,23,52,5.28,OM,2020-08-30 08:51:04
89,Boysun,38.21,67.2,80.55,20,5,7.45,UZ,2020-08-30 08:51:04
90,Port-Cartier,50.03,-66.87,48.99,87,90,5.82,CA,2020-08-30 08:51:04
91,Sekoma,-24.4,23.88,59.34,31,0,12.57,BW,2020-08-30 08:51:04
92,Jamestown,42.1,-79.24,61.0,93,1,10.29,US,2020-08-30 08:51:04
93,Plouzane,48.38,-4.62,59.0,77,17,10.29,FR,2020-08-30 08:51:05
94,Mar Del Plata,-38.0,-57.56,37.0,92,0,4.7,AR,2020-08-30 08:51:05
95,Civitavecchia,42.09,11.8,84.2,88,20,17.22,IT,2020-08-30 08:51:05
96,Hualmay,-11.1,-77.61,60.17,82,85,3.65,PE,2020-08-30 08:51:05
97,Laguna,38.42,-121.42,66.0,68,1,5.82,US,2020-08-30 08:51:06
98,Medeiros Neto,-17.37,-40.22,65.7,93,32,0.51,BR,2020-08-30 08:51:06
99,Sept-Iles,50.2,-66.38,48.99,87,90,5.82,CA,2020-08-30 08:49:02
100,Matagami,49.75,-77.63,51.8,93,90,7.61,CA,2020-08-30 08:51:06
101,Izhma,65.01,53.91,53.64,96,100,6.64,RU,2020-08-30 08:51:07
102,Bredasdorp,-34.53,20.04,53.6,66,89,9.17,ZA,2020-08-30 08:51:07
103,Ponta Do Sol,32.67,-17.1,73.4,60,40,14.99,PT,2020-08-30 08:51:07
104,Shetpe,44.17,52.12,82.83,27,0,18.39,KZ,2020-08-30 08:51:07
105,Veraval,20.9,70.37,80.28,87,100,15.1,IN,2020-08-30 08:51:07
106,Mulchen,-37.72,-72.23,34.77,87,0,5.82,CL,2020-08-30 08:51:08
107,Strezhevoy,60.73,77.59,64.4,82,75,6.71,RU,2020-08-30 08:49:14
108,Wadi Musa,30.32,35.48,93.38,15,0,3.8,JO,2020-08-30 08:51:08
109,Kitzbuhel,47.45,12.39,59.0,93,99,1.05,AT,2020-08-30 08:51:08
110,Cap Malheureux,-19.98,57.61,77.0,63,0,11.99,MU,2020-08-30 08:51:09
111,Sao Filipe,14.9,-24.5,78.49,83,60,8.01,CV,2020-08-30 08:51:09
112,Rush,53.52,-6.09,52.0,87,40,8.05,IE,2020-08-30 08:51:09
113,Thunder Bay,48.4,-89.32,48.0,100,20,3.36,CA,2020-08-30 08:48:28
114,Talara,-4.58,-81.27,62.67,84,14,14.18,PE,2020-08-30 08:51:09
115,Monrovia,6.3,-10.8,77.0,94,75,12.01,LR,2020-08-30 08:51:09
116,Mineros,-17.12,-63.23,69.8,94,0,2.24,BO,2020-08-30 08:51:10
117,Chuy,-33.7,-53.46,43.95,80,46,8.5,UY,2020-08-30 08:51:10
118,Mairana,-18.12,-63.93,54.05,78,9,2.98,BO,2020-08-30 08:51:10
119,Touros,-5.2,-35.46,73.4,94,75,3.36,BR,2020-08-30 08:51:11
120,Kathua,32.37,75.52,92.52,53,23,3.89,IN,2020-08-30 08:51:11
121,Panguipulli,-39.63,-72.33,35.6,100,90,2.24,CL,2020-08-30 08:51:11
122,Fenoarivo,-18.93,47.44,68.0,56,75,17.22,MG,2020-08-30 08:51:11
123,Dingle,11.0,122.67,80.69,81,100,8.68,PH,2020-08-30 08:51:11
124,Ribeira Grande,38.52,-28.7,75.2,94,40,9.17,PT,2020-08-30 08:51:12
125,Boa Vista,2.82,-60.67,77.0,88,40,1.12,BR,2020-08-30 08:51:12
126,Kerman,30.28,57.08,82.4,8,0,13.87,IR,2020-08-30 08:51:12
127,Mezen,65.85,44.24,49.05,94,100,5.68,RU,2020-08-30 08:51:12
128,Azul,-36.78,-59.86,34.0,65,0,1.99,AR,2020-08-30 08:51:12
129,Ostersund,63.18,14.64,44.6,87,98,4.7,SE,2020-08-30 08:49:38
130,Lebu,-37.62,-73.65,42.76,79,1,15.77,CL,2020-08-30 08:51:13
131,East London,-33.02,27.91,57.2,40,3,19.46,ZA,2020-08-30 08:51:13
132,Sakakah,29.97,40.21,100.4,8,0,4.7,SA,2020-08-30 08:51:13
133,Tignere,7.37,12.65,73.26,87,87,1.3,CM,2020-08-30 08:51:13
134,Nicoya,10.15,-85.45,73.58,93,89,0.58,CR,2020-08-30 08:51:14
135,Saquena,-4.67,-73.52,73.22,83,99,2.3,PE,2020-08-30 08:51:14
136,Nikolayevka,53.13,47.2,69.55,50,44,6.29,RU,2020-08-30 08:51:14
137,Bauchi,10.5,10.0,71.69,90,100,3.31,NG,2020-08-30 08:51:14
138,Maniitsoq,65.42,-52.9,48.47,72,99,8.63,GL,2020-08-30 08:51:15
139,Longyearbyen,78.22,15.64,42.8,90,75,28.86,SJ,2020-08-30 08:51:15
140,Hastinapur,29.17,78.02,90.59,59,0,16.24,IN,2020-08-30 08:51:15
141,Sao Joao Da Barra,-21.64,-41.05,70.27,84,0,14.18,BR,2020-08-30 08:51:16
142,Jacareacanga,-6.22,-57.75,72.25,86,0,0.49,BR,2020-08-30 08:51:16
143,Ostrovnoy,68.05,39.51,47.48,91,100,8.08,RU,2020-08-30 08:51:16
144,Jalu,29.03,21.55,96.31,19,0,3.2,LY,2020-08-30 08:51:16
145,Kuryk,43.2,51.65,84.11,32,0,14.92,KZ,2020-08-30 08:51:16
146,Mwinilunga,-11.74,24.43,93.06,23,0,4.16,ZM,2020-08-30 08:51:17
147,Sakit,27.45,78.82,89.04,62,78,13.82,IN,2020-08-30 08:51:17
148,Mao,39.89,4.27,73.4,60,20,8.05,ES,2020-08-30 08:51:17
149,Totskoye,52.52,52.76,77.61,46,0,8.25,RU,2020-08-30 08:51:17
150,Icatu,-2.78,-44.07,78.8,83,1,13.87,BR,2020-08-30 08:51:17
151,Nalut,30.33,10.85,99.0,15,0,16.89,LY,2020-08-30 08:51:18
152,Areia Branca,-4.96,-37.14,73.0,85,3,12.03,BR,2020-08-30 08:51:18
153,Bambous Virieux,-20.34,57.76,77.0,65,40,17.22,MU,2020-08-30 08:51:18
154,Valle Del Guamuez,0.45,-76.92,69.66,71,99,1.19,CO,2020-08-30 08:51:18
155,Mayahi,13.96,7.67,81.48,65,100,10.38,NE,2020-08-30 08:51:18
156,Eirunepe,-6.66,-69.87,72.91,87,100,1.52,BR,2020-08-30 08:51:19
157,Cabedelo,-6.98,-34.83,73.4,94,20,5.82,BR,2020-08-30 08:51:19
158,Huarmey,-10.07,-78.15,60.73,83,84,3.49,PE,2020-08-30 08:51:19
159,Castro,-24.79,-50.01,58.01,66,0,2.59,BR,2020-08-30 08:46:23
160,Korla,41.76,86.15,84.0,19,1,8.12,CN,2020-08-30 08:47:42
161,Tselinnoye,53.08,85.67,72.64,45,1,4.72,RU,2020-08-30 08:51:20
162,Avesta,60.15,16.17,55.0,95,96,1.01,SE,2020-08-30 08:51:20
163,Penzance,50.12,-5.54,59.0,72,40,9.17,GB,2020-08-30 08:51:20
164,Mahebourg,-20.41,57.7,77.0,65,40,17.22,MU,2020-08-30 08:51:20
165,Gazojak,41.19,61.4,93.33,11,35,18.1,TM,2020-08-30 08:51:20
166,Hearst,49.68,-83.67,44.74,96,100,6.4,CA,2020-08-30 08:51:21
167,Mehamn,71.04,27.85,50.88,72,69,11.05,NO,2020-08-30 08:51:21
168,Qasigiannguit,68.82,-51.19,39.2,80,21,3.36,GL,2020-08-30 08:51:21
169,Diego De Almagro,-26.37,-70.05,41.52,67,0,0.67,CL,2020-08-30 08:48:04
170,Cockburn Town,21.46,-71.14,82.04,80,0,12.46,TC,2020-08-30 08:51:21
171,Poim,53.03,43.19,70.74,49,3,7.07,RU,2020-08-30 08:51:22
172,Inta,66.03,60.17,57.85,59,95,21.0,RU,2020-08-30 08:51:22
173,Namwala,-15.75,26.44,96.24,10,4,3.87,ZM,2020-08-30 08:51:22
174,Faya,18.39,42.45,84.2,21,40,17.22,SA,2020-08-30 08:51:22
175,Umm Lajj,25.02,37.27,95.16,35,0,14.23,SA,2020-08-30 08:51:22
176,Aranos,-24.13,19.12,49.96,46,0,13.62,NA,2020-08-30 08:51:23
177,Adrar,20.5,-10.07,85.66,30,58,13.33,MR,2020-08-30 08:51:23
178,Vila Velha,-20.33,-40.29,69.8,88,40,2.24,BR,2020-08-30 08:51:23
179,Puerto Baquerizo Moreno,-0.9,-89.6,64.33,85,96,12.3,EC,2020-08-30 08:51:23
180,Puerto Madryn,-42.77,-65.04,44.47,57,0,28.41,AR,2020-08-30 08:48:06
181,Ardakan,32.31,54.02,87.8,14,0,11.41,IR,2020-08-30 08:51:24
182,Ambilobe,-13.2,49.05,93.63,29,45,8.08,MG,2020-08-30 08:51:24
183,Havelock,34.88,-76.9,78.8,83,1,10.29,US,2020-08-30 08:49:32
184,Eyl,7.98,49.82,92.95,41,86,24.92,SO,2020-08-30 08:51:24
185,Cozumel,20.51,-86.95,84.2,83,20,6.93,MX,2020-08-30 08:51:25
186,Reykjavik,64.14,-21.9,55.4,82,90,8.05,IS,2020-08-30 08:51:25
187,Oktyabrskoye,43.06,44.74,80.6,51,0,6.71,RU,2020-08-30 08:51:25
188,Necochea,-38.55,-58.74,28.99,84,0,5.01,AR,2020-08-30 08:51:25
189,Klaksvik,62.23,-6.59,50.0,87,75,3.36,FO,2020-08-30 08:51:25
190,Joshimath,30.57,79.57,75.4,51,48,5.99,IN,2020-08-30 08:51:26
191,Middle Island,40.88,-72.94,69.8,60,1,11.41,US,2020-08-30 08:51:26
192,Suzdal,56.43,40.44,59.76,79,100,12.3,RU,2020-08-30 08:51:26
193,San Ignacio,17.16,-89.07,78.01,86,95,3.89,BZ,2020-08-30 08:51:26
194,Chapais,49.78,-74.85,50.0,81,90,6.93,CA,2020-08-30 08:47:42
195,Eydhafushi,5.1,73.07,83.39,68,60,8.88,MV,2020-08-30 08:51:27
196,Quatre Cocos,-20.21,57.76,77.0,65,40,17.22,MU,2020-08-30 08:51:27
197,Qarqin,37.42,66.04,95.11,10,0,10.6,AF,2020-08-30 08:51:27
198,Beyneu,45.32,55.2,86.65,27,47,6.46,KZ,2020-08-30 08:51:27
199,Maputo,-25.97,32.59,69.01,68,75,14.99,MZ,2020-08-30 08:51:28
200,Novobirilyussy,56.95,90.67,63.91,85,24,5.3,RU,2020-08-30 08:51:28
201,Kabelvag,68.21,14.48,51.01,57,20,9.17,NO,2020-08-30 08:51:28
